Global Land Temperature Anomalies, January-December
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
This file is missing error values.
Year,Value
1880,-0.50
1881,-0.44
1882,-0.45
1883,-0.67
1884,-0.71
1885,-0.56
1886,-0.49
1887,-0.47
1888,-0.41
1889,-0.27
1890,-0.50
1891,-0.53
1892,-0.52
1893,-0.56
1894,-0.42
1895,-0.41
1896,-0.35
1897,-0.27
1898,-0.40
1899,-0.22
1900,-0.15
1901,-0.12
1902,-0.29
1903,-0.40
1904,-0.45
1905,-0.34
1906,-0.18
1907,-0.61
1908,-0.43
1909,-0.42
1910,-0.35
1911,-0.49
1912,-0.49
1913,-0.33
1914,-0.06
1915,-0.10
1916,-0.47
1917,-0.64
1918,-0.51
1919,-0.34
1920,-0.35
1921,-0.14
1922,-0.25
1923,-0.29
1924,-0.25
1925,-0.16
1926,-0.03
1927,-0.23
1928,-0.15
1929,-0.50
1930,-0.13
1931,-0.02
1932,-0.03
1933,-0.35
1934,-0.06
1935,-0.18
1936,-0.13
1937,-0.02
1938,0.17
1939,0.09
1940,0.06
1941,0.09
1942,0.05
1943,0.07
1944,0.19
1945,-0.07
1946,-0.01
1947,0.04
1948,0.06
1949,-0.06
1950,-0.32
1951,-0.06
1952,-0.05
1953,0.20
1954,-0.13
1955,-0.11
1956,-0.40
1957,-0.03
1958,0.15
1959,0.08
1960,-0.01
1961,0.12
1962,0.16
1963,0.22
1964,-0.22
1965,-0.12
1966,-0.05
1967,0.02
1968,-0.11
1969,-0.08
1970,0.05
1971,-0.02
1972,-0.16
1973,0.35
1974,-0.18
1975,0.15
1976,-0.22
1977,0.26
1978,0.11
1979,0.18
1980,0.32
1981,0.53
1982,0.12
1983,0.51
1984,0.07
1985,0.10
1986,0.31
1987,0.45
1988,0.59
1989,0.37
1990,0.66
1991,0.53
1992,0.25
1993,0.35
1994,0.48
1995,0.78
1996,0.35
1997,0.65
1998,0.99
1999,0.79
2000,0.64
2001,0.86
2002,0.97
2003,0.96
2004,0.83
2005,1.10
2006,0.99
2007,1.14
2008,0.91
2009,0.92
2010,1.17
2011,0.94
2012,0.98
2013,1.05
2014,1.03
2015,1.42
2016,1.53
2017,1.41
2018,1.22
